,S2,S2_conf
"('theta', 'rho_b')",0.027860372981732398,0.5822874847664349
"('theta', 'D')",0.22988269393958918,1.581803409214797
"('theta', 'v')",0.4140424605654609,2.4928669368079044
"('theta', 'lamb')",0.08995964130097406,0.857566273489717
"('theta', 'alpha')",0.008922717283201827,0.48895000121169785
"('theta', 'kd')",0.15616178838058314,1.141447659285666
"('rho_b', 'D')",0.004782953585124504,0.025264670969067933
"('rho_b', 'v')",0.002544124500157674,0.016179789534189117
"('rho_b', 'lamb')",0.003435601333731787,0.019650773166957094
"('rho_b', 'alpha')",0.0035989518646401047,0.020007538762243263
"('rho_b', 'kd')",0.003732760278256493,0.020576463382518246
"('D', 'v')",-0.01956058629121707,0.1897081217731952
"('D', 'lamb')",-0.030252515722088386,0.0736976664408838
"('D', 'alpha')",-0.03054967466661309,0.0767386695517037
"('D', 'kd')",-0.03104725660296147,0.08069838915600956
"('v', 'lamb')",0.06368157215654088,0.5955737056408906
"('v', 'alpha')",0.08163796615521794,0.6967871152241659
"('v', 'kd')",0.09263458487423744,0.7966580076511195
"('lamb', 'alpha')",0.0013830614214327423,0.014960341866158525
"('lamb', 'kd')",0.0018418331252603557,0.01734789737980272
"('alpha', 'kd')",0.005760524217359101,0.04647607922975792
