,S2,S2_conf
"('theta', 'rho_b')",-0.7470210101750071,0.6489614890635658
"('theta', 'D')",-0.3027327708472644,2.0220594662038227
"('theta', 'v')",16.00869040976869,79.56187001326562
"('theta', 'lamb')",-0.5005952102082281,1.1775723139589298
"('theta', 'alpha')",-0.529630735420012,1.147537940852248
"('theta', 'kd')",-0.558589937433718,0.8895556979892337
"('rho_b', 'D')",0.08006584579477072,0.10833995877221586
"('rho_b', 'v')",0.28836275666443756,1.0676736785259195
"('rho_b', 'lamb')",0.08886482020179653,0.10642942292555632
"('rho_b', 'alpha')",0.08767635897457743,0.10975823184719367
"('rho_b', 'kd')",0.0886031406655281,0.11065458689164254
"('D', 'v')",-0.48944090701943455,2.40101988384876
"('D', 'lamb')",-1.2947685388243688e-05,0.3412888374754973
"('D', 'alpha')",0.003410692914123657,0.30028305573498815
"('D', 'kd')",0.008284474277123081,0.2964620956692569
"('v', 'lamb')",-0.8950754500811363,4.140482205954906
"('v', 'alpha')",-0.9193462270700328,4.144100871905712
"('v', 'kd')",-0.8517565835147006,4.0910513775928505
"('lamb', 'alpha')",0.0029769880446865373,0.03813164577402255
"('lamb', 'kd')",0.0037402200254694554,0.037672830681252774
"('alpha', 'kd')",-0.005000021295535145,0.06161200205271647
