,S2,S2_conf
"('theta', 'rho_b')",0.002162639929760748,0.003592246887380918
"('theta', 'D')",0.002037212693236354,0.003383906333876268
"('theta', 'v')",-0.004735858079081834,0.007866483555374826
"('theta', 'lamb')",0.0021626399297607563,0.0035922468873809104
"('theta', 'alpha')",0.0021626399297607476,0.003592246887380918
"('theta', 'kd')",0.002162639929760748,0.003592246887380918
"('rho_b', 'D')",0.0004066586184189938,0.001016997714543047
"('rho_b', 'v')",0.0004066586184190424,0.0010169977145430874
"('rho_b', 'lamb')",0.00040665861841899696,0.0010169977145430436
"('rho_b', 'alpha')",0.0004066586184189888,0.0010169977145430401
"('rho_b', 'kd')",0.00040665861841898877,0.0010169977145430401
"('D', 'v')",-0.009191464676554628,0.5504296634377903
"('D', 'lamb')",0.038847166912295,0.23919133437722856
"('D', 'alpha')",0.038847166912294985,0.23919133437722853
"('D', 'kd')",0.03558605876266029,0.23561477289811203
"('v', 'lamb')",0.340307610297576,1.4076251373983915
"('v', 'alpha')",0.33177855821391616,1.4002950657765558
"('v', 'kd')",0.33416167570787997,1.399720607479803
"('lamb', 'alpha')",0.004199852622997056,0.008025856472291178
"('lamb', 'kd')",0.004074425386472645,0.00803685799416953
"('alpha', 'kd')",-0.0008476137468251232,0.001986788013432274
