,S2,S2_conf
"('theta', 'rho_b')",-0.011724104851290783,0.49784160281736867
"('theta', 'D')",0.06114691321523824,0.7566287912781595
"('theta', 'v')",0.6732489714911176,2.8995255824910484
"('theta', 'lamb')",-0.00018970799154545588,0.47250792817963116
"('theta', 'alpha')",-0.02981177029339234,0.6330443186122614
"('theta', 'kd')",0.0028237286749534744,0.41985548946679785
"('rho_b', 'D')",0.025372606436515538,0.04198171679132666
"('rho_b', 'v')",0.07545564201600313,0.0501564461174688
"('rho_b', 'lamb')",0.0712877591716572,0.049005813277834195
"('rho_b', 'alpha')",0.06803578393135726,0.04612965297383436
"('rho_b', 'kd')",0.06858130252629459,0.04695259355839218
"('D', 'v')",-0.051383187182326095,1.37583023289885
"('D', 'lamb')",-0.014418766670021654,0.40041346274707423
"('D', 'alpha')",0.019962995697247236,0.5053741490168147
"('D', 'kd')",-0.0015084954204619572,0.4123404599610487
"('v', 'lamb')",-0.11387780874138193,1.1329640543273043
"('v', 'alpha')",-0.1261982757536108,1.0549954251542362
"('v', 'kd')",-0.11671208985456193,1.1354080987309225
"('lamb', 'alpha')",-0.004565777389160067,0.0787321337514224
"('lamb', 'kd')",-0.0026514298475164722,0.07813003663775801
"('alpha', 'kd')",0.04055007926123497,0.08914474846095077
