,S2,S2_conf
"('theta', 'rho_b')",0.0,0.0
"('theta', 'D')",0.0,6.22755653731087e-17
"('theta', 'v')",-1.1102230246251565e-16,1.4132855079184047e-16
"('theta', 'lamb')",0.0,0.0
"('theta', 'alpha')",0.0,0.0
"('theta', 'kd')",0.0,0.0
"('rho_b', 'D')",0.0,6.22755653731087e-17
"('rho_b', 'v')",-1.1102230246251565e-16,1.4132855079184047e-16
"('rho_b', 'lamb')",0.0,0.0
"('rho_b', 'alpha')",0.0,0.0
"('rho_b', 'kd')",0.0,0.0
"('D', 'v')",0.6896884812719938,2.4396684468304506
"('D', 'lamb')",0.3015237813839435,0.8690884036277332
"('D', 'alpha')",0.3015237813839435,0.8690884036277332
"('D', 'kd')",0.3015237813839435,0.8690884036277332
"('v', 'lamb')",0.5745854889456271,1.4313381833954255
"('v', 'alpha')",0.5745854889456271,1.4313381833954255
"('v', 'kd')",0.5745854889456271,1.4313381833954255
"('lamb', 'alpha')",0.0,0.0
"('lamb', 'kd')",0.0,0.0
"('alpha', 'kd')",0.0,0.0
