,S2,S2_conf
"('theta', 'rho_b')",0.03422068207675359,0.5005956919679991
"('theta', 'D')",0.17246082661124645,0.9930927879036751
"('theta', 'v')",0.6521328241050964,2.696732139854473
"('theta', 'lamb')",0.09046859070449302,0.6739903186995732
"('theta', 'alpha')",0.12793536845156467,0.8124526635457701
"('theta', 'kd')",0.18423427206785156,0.9960146225851424
"('rho_b', 'D')",0.017638202954237184,0.03556901262599107
"('rho_b', 'v')",0.0045529239834306845,0.03235806429908143
"('rho_b', 'lamb')",0.011603595233342572,0.02336015478326323
"('rho_b', 'alpha')",0.01405450808397221,0.027699594765488892
"('rho_b', 'kd')",0.016017720303940844,0.03208094703582069
"('D', 'v')",0.06237228293075622,0.26078716478878333
"('D', 'lamb')",-0.01771961434289404,0.050251016822657014
"('D', 'alpha')",-0.02082638230520396,0.0553302878858924
"('D', 'kd')",-0.02233949760096325,0.06344626145443297
"('v', 'lamb')",0.18482698198026737,0.6942998277448803
"('v', 'alpha')",0.29794195161250386,0.9837292244959549
"('v', 'kd')",0.4532601110622828,1.3029141277332281
"('lamb', 'alpha')",0.020264825901850483,0.03289888560698409
"('lamb', 'kd')",0.02473750463792987,0.038249031130707184
"('alpha', 'kd')",-0.00046269001341808606,0.009074443412983435
