,S2,S2_conf
"('theta', 'rho_b')",-0.01611861887430305,0.020676296319480102
"('theta', 'D')",-0.015903520973389696,0.020404109168986405
"('theta', 'v')",0.08025958059494243,0.10629442379047803
"('theta', 'lamb')",-0.016118618874303055,0.020676296319480102
"('theta', 'alpha')",-0.016118618874303048,0.02067629631948011
"('theta', 'kd')",-0.01611861887430305,0.020676296319480106
"('rho_b', 'D')",-0.0004106185319389088,0.0007643876538595495
"('rho_b', 'v')",0.0015790370515094132,0.002073275772452861
"('rho_b', 'lamb')",-0.0003998636368932448,0.0007033884127253269
"('rho_b', 'alpha')",-0.00040344860190846235,0.000718891547584191
"('rho_b', 'kd')",-0.0004034486019084643,0.0007188915475841895
"('D', 'v')",-0.06569711661263855,0.09686869601241446
"('D', 'lamb')",0.01620857909015379,0.02075286594324216
"('D', 'alpha')",0.016208579090153795,0.021062216329716874
"('D', 'kd')",0.01620140916012335,0.02106735397131301
"('v', 'lamb')",0.03696386007971135,2.1027698982396408
"('v', 'alpha')",0.013062898323221876,2.0693182810847532
"('v', 'kd')",0.015518599358649476,2.071227370267066
"('lamb', 'alpha')",0.013981573615912235,0.024159015883630595
"('lamb', 'kd')",0.013985158580927453,0.024154992879560484
"('alpha', 'kd')",-0.0003835912566288197,0.001650204941257274
