,S2,S2_conf
"('theta', 'rho_b')",0.7138988512468714,0.5946276928055049
"('theta', 'D')",0.4228419651544424,0.7401495077294967
"('theta', 'v')",1.1322371339787196,0.7333500134333059
"('theta', 'lamb')",0.6726413033658566,0.5955779403039118
"('theta', 'alpha')",0.6630375764480458,0.5752828288621961
"('theta', 'kd')",0.6991023912532515,0.5929365587500078
"('rho_b', 'D')",0.03381341314105571,0.0907181318348367
"('rho_b', 'v')",-0.08584285471607933,0.38086656463521446
"('rho_b', 'lamb')",-0.11233714642732717,0.35707569402597666
"('rho_b', 'alpha')",-0.07457426507196187,0.3097996337575225
"('rho_b', 'kd')",-0.08467606132585831,0.3424787892494533
"('D', 'v')",-0.00037301377438325733,0.5664540912300329
"('D', 'lamb')",-0.15574361162938713,0.5015823076342336
"('D', 'alpha')",-0.2298720826878467,0.3452204340266475
"('D', 'kd')",-0.08278599460194444,0.5396050681293301
"('v', 'lamb')",1.2834467825794613,1.2397192323888215
"('v', 'alpha')",1.3665322606229595,1.2402986222652987
"('v', 'kd')",1.46196147579304,1.6525419871146798
"('lamb', 'alpha')",-0.017071154568426474,0.07639413717264763
"('lamb', 'kd')",-0.018521917313655475,0.08560394093631278
"('alpha', 'kd')",-0.011439676188931172,0.07138440184421274
