,S2,S2_conf
"('theta', 'rho_b')",0.0,0.0
"('theta', 'D')",-2.7755575615628914e-17,3.1581007370396295e-17
"('theta', 'v')",0.0,2.3939090191643893e-16
"('theta', 'lamb')",1.4162390878091902e-18,2.6640401668620022e-18
"('theta', 'alpha')",0.0,0.0
"('theta', 'kd')",0.0,0.0
"('rho_b', 'D')",-2.7755575615628914e-17,3.1581007370396295e-17
"('rho_b', 'v')",0.0,2.3939090191643893e-16
"('rho_b', 'lamb')",1.4162390878091902e-18,2.6640401668620022e-18
"('rho_b', 'alpha')",0.0,0.0
"('rho_b', 'kd')",0.0,0.0
"('D', 'v')",0.4387932218966033,1.7061423390946475
"('D', 'lamb')",0.20230380445611532,0.5560449524634935
"('D', 'alpha')",0.20308968528831747,0.5580889598643871
"('D', 'kd')",0.20308968528831747,0.5580889598643871
"('v', 'lamb')",0.34074891237534033,1.629644610274011
"('v', 'alpha')",0.3405494397162281,1.6296332304424983
"('v', 'kd')",0.3405494397162281,1.6296332304424983
"('lamb', 'alpha')",-1.784199030275663e-05,0.0002149550168710234
"('lamb', 'kd')",-1.784199030275663e-05,0.0002149550168710234
"('alpha', 'kd')",0.0,0.0
