,S2,S2_conf
"('theta', 'rho_b')",0.04266603948561348,0.4393538636004931
"('theta', 'D')",0.23973836160054632,1.1654813793115042
"('theta', 'v')",0.5062142439176492,2.062727285332251
"('theta', 'lamb')",0.10492903126384538,0.6485252970846255
"('theta', 'alpha')",0.12179124181204008,0.6937501738584052
"('theta', 'kd')",0.1801971003297274,0.8896516711266084
"('rho_b', 'D')",0.017580619275197266,0.04680694454981352
"('rho_b', 'v')",0.0018265601108484186,0.010225820186725909
"('rho_b', 'lamb')",0.008949315790800305,0.02142966680234457
"('rho_b', 'alpha')",0.009727683026024156,0.022689836794759367
"('rho_b', 'kd')",0.011564595636940843,0.02879587898888299
"('D', 'v')",-0.021057798280557094,0.1097721883268062
"('D', 'lamb')",-0.0182694296591876,0.07084555215822746
"('D', 'alpha')",-0.017179091019328078,0.07009501266923024
"('D', 'kd')",-0.019898692513515573,0.08463041724386589
"('v', 'lamb')",0.1702060617982542,0.8612621136044636
"('v', 'alpha')",0.16756707893820372,0.8647227791052752
"('v', 'kd')",0.2710261927604277,1.1582420880425983
"('lamb', 'alpha')",0.005646542229216421,0.020684646920705783
"('lamb', 'kd')",0.00808993974095578,0.029211886868287115
"('alpha', 'kd')",0.006773817758505437,0.02397759032662661
