,S2,S2_conf
"('theta', 'rho_b')",-0.7896972250552271,0.6336182837674044
"('theta', 'D')",-0.3565238963422078,0.9067957258903848
"('theta', 'v')",26.52227083177463,57.797163826716506
"('theta', 'lamb')",-0.44535363121232047,0.7383204981231254
"('theta', 'alpha')",-0.49015912518556737,0.6908180201815179
"('theta', 'kd')",-0.5325641560773535,0.6304858480950721
"('rho_b', 'D')",0.07638067973742968,0.08180046011239966
"('rho_b', 'v')",0.5784743907289194,1.1826703873574058
"('rho_b', 'lamb')",0.08423731349748576,0.07976356272903296
"('rho_b', 'alpha')",0.0816887903571949,0.07755618847846278
"('rho_b', 'kd')",0.08527058369527982,0.07647259452674772
"('D', 'v')",-0.6690223704572931,1.4225943964133692
"('D', 'lamb')",0.008913136786230411,0.10519679820632656
"('D', 'alpha')",0.007728656315588434,0.10367629033644865
"('D', 'kd')",0.02160219884938434,0.08582567773320854
"('v', 'lamb')",-1.9484109139164645,4.449438332936765
"('v', 'alpha')",-1.9736189264858186,4.4519685086837955
"('v', 'kd')",-1.8999385708266558,4.407830593508368
"('lamb', 'alpha')",0.010086394619434464,0.02503522889411496
"('lamb', 'kd')",0.010401416021200947,0.02394004205521487
"('alpha', 'kd')",-0.0004116443723395438,0.025444637544031975
