,S2,S2_conf
"('theta', 'rho_b')",0.006627951597913465,0.00923228519988726
"('theta', 'D')",0.0065123231064750375,0.009145700517990928
"('theta', 'v')",-0.006669324917506048,0.007000615349565228
"('theta', 'lamb')",0.0066279515979134705,0.009232285199887256
"('theta', 'alpha')",0.006627951597913465,0.00923228519988726
"('theta', 'kd')",0.006604825899625779,0.0092446445895555
"('rho_b', 'D')",1.3877787807814457e-17,3.127473959555133e-17
"('rho_b', 'v')",1.1102230246251565e-16,2.3838045717884867e-16
"('rho_b', 'lamb')",5.149960319306146e-18,6.39285515914619e-18
"('rho_b', 'alpha')",-2.168404344971009e-19,2.152376037011264e-18
"('rho_b', 'kd')",1.734723475976807e-18,3.4657813590643997e-18
"('D', 'v')",-0.0961104924183841,0.2389662089144487
"('D', 'lamb')",0.007747018591616059,0.09051883307919013
"('D', 'alpha')",0.007377007419013065,0.08975275529721345
"('D', 'kd')",0.006706362168670159,0.08959224495282098
"('v', 'lamb')",0.272623708032278,1.611563472670886
"('v', 'alpha')",0.2584939063785015,1.5951238430310113
"('v', 'kd')",0.25523318291993774,1.5966964029010982
"('lamb', 'alpha')",0.0055722996049841446,0.009960164259456972
"('lamb', 'kd')",0.005595425303271823,0.009936106416805172
"('alpha', 'kd')",0.0009035282588806311,0.006245872114769192
