,S2,S2_conf
"('theta', 'rho_b')",-0.238301364719133,0.4114203302044609
"('theta', 'D')",-0.1369747376152079,0.19556620959302845
"('theta', 'v')",0.8890047924084103,2.0888927103996187
"('theta', 'lamb')",-0.22773298089783633,0.41842274156870995
"('theta', 'alpha')",-0.23404121332792155,0.41630901535375325
"('theta', 'kd')",-0.22773312844985488,0.3300857828837469
"('rho_b', 'D')",0.0443510954882501,0.058425108339322254
"('rho_b', 'v')",0.053473587568953596,0.06982119057269102
"('rho_b', 'lamb')",0.04778560480422437,0.06453583236590697
"('rho_b', 'alpha')",0.04748855308039362,0.06400650489694758
"('rho_b', 'kd')",0.04761695284697296,0.06435149141980159
"('D', 'v')",-0.021684572033421112,0.2434515918642511
"('D', 'lamb')",-0.008153786334839035,0.19652162359233877
"('D', 'alpha')",-0.005268436121662985,0.1875197823759916
"('D', 'kd')",-0.006792146796862103,0.1941435887792201
"('v', 'lamb')",-0.3939164954729722,1.7793746707441447
"('v', 'alpha')",-0.3906821552254208,1.7779344488616946
"('v', 'kd')",-0.3689671017115589,1.7425443153172568
"('lamb', 'alpha')",-0.023533297269099293,0.029908765769405432
"('lamb', 'kd')",-0.023451701002817536,0.030031334669062118
"('alpha', 'kd')",0.001231849554722414,0.022781603509473752
