,S2,S2_conf
"('theta', 'rho_b')",0.0,0.0
"('theta', 'D')",1.8214596497756474e-17,3.003158063252631e-17
"('theta', 'v')",0.0,2.1358337396009643e-16
"('theta', 'lamb')",4.404571325722362e-20,3.034630841409493e-19
"('theta', 'alpha')",0.0,0.0
"('theta', 'kd')",0.0,0.0
"('rho_b', 'D')",1.8214596497756474e-17,3.003158063252631e-17
"('rho_b', 'v')",0.0,2.1358337396009643e-16
"('rho_b', 'lamb')",4.404571325722362e-20,3.034630841409493e-19
"('rho_b', 'alpha')",0.0,0.0
"('rho_b', 'kd')",0.0,0.0
"('D', 'v')",0.016451939513365987,0.31400436919701674
"('D', 'lamb')",0.009447663452985708,0.09516918527877158
"('D', 'alpha')",0.00947883490013519,0.09531287226619198
"('D', 'kd')",0.00947883490013519,0.09531287226619198
"('v', 'lamb')",0.0476204185029828,1.9085065647538655
"('v', 'alpha')",0.04758900758248785,1.9085538709452146
"('v', 'kd')",0.04758900758248785,1.9085538709452146
"('lamb', 'alpha')",1.8601279206369545e-05,0.0001243724509481951
"('lamb', 'kd')",1.8601279206369545e-05,0.0001243724509481951
"('alpha', 'kd')",0.0,0.0
